id,actual_miles,estimated_miles,error,map_url
6,224,224,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.29028,-76.6125&markers=color%3Ared%7C37.02972,-76.34556&markers=color%3Agreen%7Clabel%3A2%7C39.29028,-76.6125&markers=color%3Ared%7Clabel%3A2%7C37.02972,-76.34556"
20,422,429,7,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.92417,-79.83583&markers=color%3Ared%7C43.467,-81.2&markers=color%3Agreen%7Clabel%3A2%7C39.92417,-79.83583&markers=color%3Ared%7Clabel%3A2%7C43.467,-81.2&markers=color%3Agreen%7Clabel%3A3%7C39.92417,-79.83583&markers=color%3Ared%7Clabel%3A3%7C43.467,-81.2&markers=color%3Agreen%7Clabel%3A4%7C40.44056,-79.99611&markers=color%3Ared%7Clabel%3A4%7C42.983,-81.233&markers=color%3Agreen%7Clabel%3A5%7C39.95485,-80.74287&markers=color%3Ared%7Clabel%3A5%7C43.983,-80.733"
23,244,248,4,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C42.38056,-76.87361&markers=color%3Ared%7C40.66861,-74.11472&markers=color%3Agreen%7Clabel%3A2%7C42.38056,-76.87361&markers=color%3Ared%7Clabel%3A2%7C40.66861,-74.11472&markers=color%3Agreen%7Clabel%3A3%7C42.38056,-76.87361&markers=color%3Ared%7Clabel%3A3%7C40.50667,-74.26583&markers=color%3Agreen%7Clabel%3A4%7C42.08972,-76.80806&markers=color%3Ared%7Clabel%3A4%7C40.77389,-74.27389&markers=color%3Agreen%7Clabel%3A5%7C42.38056,-76.87361&markers=color%3Ared%7Clabel%3A5%7C41.3625,-74.27167"
29,175,169,-6,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.51861,-74.4125&markers=color%3Ared%7C42.09861,-75.91833&markers=color%3Agreen%7Clabel%3A2%7C40.51861,-74.4125&markers=color%3Ared%7Clabel%3A2%7C42.09861,-75.91833&markers=color%3Agreen%7Clabel%3A3%7C40.66389,-74.21111&markers=color%3Ared%7Clabel%3A3%7C41.37111,-75.73528&markers=color%3Agreen%7Clabel%3A4%7C40.73556,-74.17278&markers=color%3Ared%7Clabel%3A4%7C41.57667,-75.25917&markers=color%3Agreen%7Clabel%3A5%7C40.73556,-74.17278&markers=color%3Ared%7Clabel%3A5%7C41.57667,-75.25917"
32,354,353,-1,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.41889,-80.58972&markers=color%3Ared%7C43.08417,-76.86972&markers=color%3Agreen%7Clabel%3A2%7C40.41889,-80.58972&markers=color%3Ared%7Clabel%3A2%7C43.08417,-76.86972&markers=color%3Agreen%7Clabel%3A3%7C40.41889,-80.58972&markers=color%3Ared%7Clabel%3A3%7C43.08417,-76.86972&markers=color%3Agreen%7Clabel%3A4%7C40.41889,-80.58972&markers=color%3Ared%7Clabel%3A4%7C43.08417,-76.86972&markers=color%3Agreen%7Clabel%3A5%7C40.06389,-80.72111&markers=color%3Ared%7Clabel%3A5%7C42.90472,-76.86306"
33,262,257,-5,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.03611,-75.51417&markers=color%3Ared%7C42.125,-72.75&markers=color%3Agreen%7Clabel%3A2%7C40.03611,-75.51417&markers=color%3Ared%7Clabel%3A2%7C42.125,-72.75&markers=color%3Agreen%7Clabel%3A3%7C40.03611,-75.51417&markers=color%3Ared%7Clabel%3A3%7C42.125,-72.75&markers=color%3Agreen%7Clabel%3A4%7C39.94917,-75.97389&markers=color%3Ared%7Clabel%3A4%7C42.10139,-72.59028&markers=color%3Agreen%7Clabel%3A5%7C40.33556,-75.92722&markers=color%3Ared%7Clabel%3A5%7C42.10139,-72.59028"
39,374,374,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C43.10083,-75.23306&markers=color%3Ared%7C39.14917,-76.77556&markers=color%3Agreen%7Clabel%3A2%7C43.10083,-75.23306&markers=color%3Ared%7Clabel%3A2%7C39.14917,-76.77556"
52,554,580,26,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C36.29362,-76.23404&markers=color%3Ared%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A2%7C36.29362,-76.23404&markers=color%3Ared%7Clabel%3A2%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A3%7C36.29362,-76.23404&markers=color%3Ared%7Clabel%3A3%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A4%7C36.97861,-76.42833&markers=color%3Ared%7Clabel%3A4%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A5%7C36.97861,-76.42833&markers=color%3Ared%7Clabel%3A5%7C43.32278,-76.4175"
55,99,101,2,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.73556,-74.17278&markers=color%3Ared%7C41.57667,-75.25917&markers=color%3Agreen%7Clabel%3A2%7C40.73556,-74.17278&markers=color%3Ared%7Clabel%3A2%7C41.57667,-75.25917&markers=color%3Agreen%7Clabel%3A3%7C40.73556,-74.17278&markers=color%3Ared%7Clabel%3A3%7C41.57667,-75.25917&markers=color%3Agreen%7Clabel%3A4%7C40.73556,-74.17278&markers=color%3Ared%7Clabel%3A4%7C41.57667,-75.25917&markers=color%3Agreen%7Clabel%3A5%7C40.66389,-74.21111&markers=color%3Ared%7Clabel%3A5%7C41.37111,-75.73528"
83,422,422,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C42.73472,-71.65861&markers=color%3Ared%7C40.85333,-77.56778&markers=color%3Agreen%7Clabel%3A2%7C42.73472,-71.65861&markers=color%3Ared%7Clabel%3A2%7C40.85333,-77.56778&markers=color%3Agreen%7Clabel%3A3%7C42.73472,-71.65861&markers=color%3Ared%7Clabel%3A3%7C40.85333,-77.56778&markers=color%3Agreen%7Clabel%3A4%7C42.73472,-71.65861&markers=color%3Ared%7Clabel%3A4%7C40.85333,-77.56778"
